lr
1.200000000000002e-05
1.2000401121489452e-05
1.2001604483723096e-05
1.2003610079996897e-05
1.2006417899137285e-05
1.2010027925501662e-05
1.2014440138978023e-05
1.2019654514985336e-05
1.2025671024473651e-05
1.2032489633924208e-05
1.2040110305349707e-05
1.2048532996294199e-05
1.2057757659833957e-05
1.206778424457704e-05
1.2078612694664049e-05
1.2090242949768296e-05
1.210267494509607e-05
1.2115908611387072e-05
1.2129943874914797e-05
1.2144780657487016e-05
1.2160418876445945e-05
1.2176858444669164e-05
1.2194099270569506e-05
1.2212141258096147e-05
1.2230984306734762e-05
1.2250628311508236e-05
1.2271073162977309e-05
1.229231874724096e-05
1.2314364945937217e-05
1.2337211636243809e-05
1.236085869087887e-05
1.2385305978101428e-05
1.2410553361712543e-05
1.2436600701055684e-05
1.2463447851017656e-05
1.2491094662029517e-05
1.2519540980067119e-05
1.2548786646652361e-05
1.257883149885378e-05
1.2609675369287528e-05
1.2641318086118293e-05
1.2673759473060388e-05
1.270699934937861e-05
1.2741037529889114e-05
1.277587382496082e-05
1.2811508040516011e-05
1.2847939978031901e-05
1.2885169434541344e-05
1.2923196202634026e-05
1.2962020070457925e-05
1.300164082172013e-05
1.3042058235688192e-05
1.3083272087191316e-05
1.3125282146621883e-05
1.3168088179936097e-05
1.3211689948656048e-05
1.3256087209870466e-05
1.330127971623646e-05
1.3347267215980496e-05
1.3394049452900231e-05
1.3441626166365607e-05
1.3489997091320472e-05
1.3539161958284098e-05
1.3589120493352487e-05
1.3639872418200042e-05
1.369141745008115e-05
1.3743755301831584e-05
1.3796885681870348e-05
1.3850808294200978e-05
1.390552283841366e-05
1.3961029009686306e-05
1.4017326498786786e-05
1.4074414992074384e-05
1.4132294171501536e-05
1.419096371461573e-05
1.4250423294561126e-05
1.431067258008073e-05
1.4371711235517748e-05
1.443353892081775e-05
1.449615529153063e-05
1.4559559998812222e-05
1.4623752689426695e-05
1.4688733005747956e-05
1.4754500585762202e-05
1.4821055063069541e-05
1.4888396066886221e-05
1.4956523222046632e-05
1.5025436149005366e-05
1.509513446383944e-05
1.5165617778250466e-05
1.5236885699566492e-05
1.530893783074455e-05
1.5381773770372774e-05
